Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.4666565|21.716611;0;42.5695;74.5726;85.4615;1058;1038;963;939;881;845;774;748;687;652;588;511;472;396;305;241;173;150;140;195.245;195;3.57326;3.58162;32;15;5;0;0;0;0;0;0;0;0;3604;240;0;0;0;3710;134;0;0;0;3615;229;0;0;0;3373;471;0;2;0
47.4666565|21.716611;1;46.7591;76.5427;87.2115;1003;997;962;914;863;841;792;744;713;652;569;532;431;394;301;290;245;215;89;195.644;195;8.99111;9.05424;33;17;6;0;0;0;443;0;91;0;0;3412;341;80;0;0;3526;238;116;0;0;3548;180;211;0;0;3513;120;0;2;0
47.4666565|21.716611;2;81.7497;104.996;108.545;981;949;883;803;732;684;574;550;515;484;445;419;381;369;275;269;254;251;235;187.211;180;19.6232;21.2644;24;13;6;4;3;3;609;0;679;0;0;924;2241;687;0;0;818;2339;860;0;0;675;2309;2021;0;0;686;1137;1;2;0
47.4666565|21.716611;3;80.4238;104.307;107.658;718;561;329;275;213;201;151;151;147;139;47;46;44;44;44;44;38;22;22;188.747;180;13.6337;16.2493;2;2;1;0;0;0;0;0;18;0;0;127;3699;8;0;0;135;3701;0;0;0;62;3782;0;0;0;25;3819;0;2;0
47.4666565|21.716611;4;81.1889;98.3678;105.391;812;475;385;323;270;219;154;130;124;76;66;59;57;0;0;0;0;0;0;198.781;196;10.7072;11.0626;0;0;0;0;0;0;0;0;0;0;0;111;3733;0;0;0;58;3786;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;5;84.0871;107.536;110.406;836;735;551;378;279;234;225;212;207;179;176;174;140;140;138;0;0;0;0;186.909;190;8.05;8.6232;0;0;0;0;0;0;0;0;0;0;0;203;3641;0;0;0;52;3792;0;0;0;13;3831;0;0;0;0;3844;0;2;0
47.4666565|21.716611;6;94.018;119.327;116.636;507;316;145;120;91;33;28;27;27;26;0;0;0;0;0;0;0;0;0;174.177;170;6.31585;7.57267;0;0;0;0;0;0;0;0;0;0;0;2;3842;0;0;0;9;3835;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;7;84.8621;115.566;113.303;686;383;181;120;93;67;44;15;0;0;0;0;0;0;0;0;0;0;0;175.803;170;9.28973;10.9538;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;8;65.2687;95.7552;101.062;672;425;196;174;141;129;95;92;51;51;0;0;0;0;0;0;0;0;0;189.226;195;8.36434;10.1641;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;9;62.7531;104.269;103.511;401;266;157;129;123;115;112;84;84;84;0;0;0;0;0;0;0;0;0;179.806;175;8.25067;9.54877;0;0;0;0;0;0;0;0;0;0;0;19;3825;0;0;0;11;3833;0;0;0;0;3844;0;0;0;0;3844;0;2;0
47.4666565|21.716611;10;39.6657;71.7627;83.3059;1023;975;953;924;895;877;821;786;702;627;565;489;449;408;301;165;140;128;58;195.935;195;5.60258;5.71083;35;16;6;0;0;0;306;0;0;0;0;3797;47;0;0;0;3787;57;0;0;0;3717;127;0;0;0;3505;339;0;2;0
47.4666565|21.716611;11;75.1967;97.4464;105.433;1044;1012;968;910;901;883;810;752;716;703;643;624;565;525;511;446;375;309;269;191.631;195;34.902;34.1071;30;18;6;1;1;1;301;0;942;0;0;2110;792;869;0;0;2253;722;1039;0;0;2193;612;1390;0;0;2221;233;1;2;0
